"Отметка времени","ID_People","1. Из каких систем вы собираете данные для анализа?","2. Насколько критична для ваших бизнес-процессов синхронизация данных в реальном времени по сравнению с периодическим обновлением?","3. Какие инструменты и технологии вы используете для текущей интеграции данных?","4. Насколько эти используемые инструменты и технологии удовлетворяют ваши потребности?","5. Сталкивались ли вы с проблемами при масштабировании текущих решений по интеграции?","6. Какие типы проблем с качеством данных наиболее распространены?","7. Существуют ли у вас правила или процессы для управления качеством данных после их интеграции?","8. Как вы отслеживаете конфликты, возникающие из-за противоречий в данных из разных систем?","9. Как вы разрешаете конфликты, возникающие из-за противоречий в данных из разных систем?","10. Как вы обеспечиваете безопасность и конфиденциальность данных в процессе интеграции?","11. Какие вы используете политики доступа к интегрированным данным?","12. Если бы вы могли решить одну самую важную проблему, связанную с разрозненными данными, чтобы это было?","13. Какие новые аналитические возможности или бизнес-инициативы вы смогли бы реализовать имея единое хранилище интегрированных данных?"
"2025/10/20 10:31:39 PM GMT+3","1","CRM","Важно","Ручное выполнение","Полностью удовлетворяют","Периодически","Дубликаты данных","Есть оба варианта","Используется сравнение контрольных сумм","Разрешается вручную","Шифрование","Аудит и мониторинг доступа","Использование AI","Хз😁"
"2025/10/20 10:31:39 PM GMT+3","1","Excel","Важно","Ручное выполнение","Полностью удовлетворяют","Периодически","Пропуски данных","Есть оба варианта","Используется регулярный аудит","Разрешается вручную","Двухфакторная аутентификация","Аудит и мониторинг доступа","Использование AI","Хз😁"
"2025/10/20 10:31:39 PM GMT+3","1","CRM","Важно","Ручное выполнение","Полностью удовлетворяют","Периодически","Некорректные значения","Есть оба варианта","Используется сравнение контрольных сумм","Разрешается вручную","Строгие политики паролей","Аудит и мониторинг доступа","Использование AI","Хз😁"
"2025/10/20 10:43:25 PM GMT+3","2","Excel","Важно","API-интеграция","Полностью удовлетворяют","Периодически","Дубликаты данных","Ничего из выше перечисленного","Используется регулярный аудит","Объединение данных","Строгие политики паролей","Ролевая модель доступа (RBAC)","нет","нет"
"2025/10/20 10:43:25 PM GMT+3","2","Excel","Важно","Интеграционная шина (EBS)","Полностью удовлетворяют","Периодически","Некорректные значения","Ничего из выше перечисленного","Используется регулярный аудит","Арбитраж","Строгие политики паролей","Детализация доступа на уровне данных","нет","нет"
"2025/10/20 10:43:25 PM GMT+3","2","1С","Важно","Файловый обмен","Полностью удовлетворяют","Периодически","Дубликаты данных","Ничего из выше перечисленного","Используется регулярный аудит","Применение бизнес-правил","Строгие политики паролей","Ролевая модель доступа (RBAC)","нет","нет"
"2025/10/20 11:04:36 PM GMT+3","3","CRM","Важно","API-интеграция","Скорее удовлетворяют","Редко","Дубликаты данных","Есть описанные процессы","Используются правила валидации данных","Разрешается вручную","Шифрование","Принцип наименьших привилегий (PoLP)","Проблему взаимных блокировок при дублировании данных","Масштабирование и быстро действие систем"
"2025/10/20 11:04:36 PM GMT+3","3","ERP","Важно","Интеграционная шина (EBS)","Скорее удовлетворяют","Редко","Несоответствие форматов","Есть описанные процессы","Используется мониторинг и логирование","Арбитраж","Строгие политики паролей","Аудит и мониторинг доступа","Проблему взаимных блокировок при дублировании данных","Масштабирование и быстро действие систем"
"2025/10/20 11:04:36 PM GMT+3","3","SQL-базы","Важно","API-интеграция","Скорее удовлетворяют","Редко","Дубликаты данных","Есть описанные процессы","Используется сравнение контрольных сумм","Применение бизнес-правил","Принцип наименьших привилегий","Принцип наименьших привилегий (PoLP)","Проблему взаимных блокировок при дублировании данных","Масштабирование и быстро действие систем"
"2025/10/20 11:30:17 PM GMT+3","4","ERP","Важно","API-интеграция","Полностью удовлетворяют","Периодически","Дубликаты данных","Есть перечень правил","Используется мониторинг и логирование","Приоритет источника («Last-Write-Wins»)","Двухфакторная аутентификация","Ролевая модель доступа (RBAC)","Использование единых справочников ","Получение корректной отчётности и статистики"
"2025/10/20 11:30:17 PM GMT+3","4","SQL-базы","Важно","Интеграционная шина (EBS)","Полностью удовлетворяют","Периодически","Некорректные значения","Есть перечень правил","Используется мониторинг и логирование","Применение бизнес-правил","Двухфакторная аутентификация","Контроль доступа на основе атрибутов (ABAC)","Использование единых справочников ","Получение корректной отчётности и статистики"
"2025/10/20 11:30:17 PM GMT+3","4","Excel","Важно","API-интеграция","Полностью удовлетворяют","Периодически","Большой объем данных, не хватает памяти","Есть перечень правил","Используется мониторинг и логирование","Приоритет источника («Last-Write-Wins»)","Двухфакторная аутентификация","Ролевая модель доступа (RBAC)","Использование единых справочников ","Получение корректной отчётности и статистики"
"2025/10/20 11:33:08 PM GMT+3","5","CRM","Критично","API-интеграция","Скорее удовлетворяют","Редко","Дубликаты данных","Есть оба варианта","Используются правила валидации данных","Разрешается вручную","Шифрование","Аудит и мониторинг доступа","Выравнивание данных в констстентность","360° клиент: Полный профиль из всех систем."
"2025/10/20 11:33:08 PM GMT+3","5","ERP","Критично","Интеграционная шина (EBS)","Скорее удовлетворяют","Редко","Пропуски данных","Есть оба варианта","Используется мониторинг и логирование","Арбитраж","Двухфакторная аутентификация","Аудит и мониторинг доступа","Выравнивание данных в констстентность","360° клиент: Полный профиль из всех систем."
"2025/10/20 11:33:08 PM GMT+3","5","SQL-базы","Критично","Микросервисы","Скорее удовлетворяют","Редко","Пропуски данных","Есть оба варианта","Используются правила валидации данных","Применение бизнес-правил","Строгие политики паролей","Аудит и мониторинг доступа","Выравнивание данных в констстентность","360° клиент: Полный профиль из всех систем."
"2025/10/20 11:33:08 PM GMT+3","5","Excel","Критично","Файловый обмен","Скорее удовлетворяют","Редко","Пропуски данных","Есть оба варианта","Используется мониторинг и логирование","Разрешается вручную","Шифрование","Аудит и мониторинг доступа","Выравнивание данных в констстентность","360° клиент: Полный профиль из всех систем."
"2025/10/20 11:33:08 PM GMT+3","5","CRM","Критично","Ручное выполнение","Скорее удовлетворяют","Редко","Дубликаты данных","Есть оба варианта","Используются правила валидации данных","Разрешается вручную","Шифрование","Аудит и мониторинг доступа","Выравнивание данных в констстентность","360° клиент: Полный профиль из всех систем."
"2025/10/20 11:36:33 PM GMT+3","6","CRM","Важно","Интеграционная шина (EBS)","Полностью удовлетворяют","Периодически","Пропуски данных","Есть оба варианта","Используется мониторинг и логирование","Приоритет источника («Last-Write-Wins»)","Маскирование, токенизация, анонимизация","Детализация доступа на уровне данных","Структурирование данных ","Универсально настраиваемую ответную систему"
"2025/10/20 11:36:33 PM GMT+3","6","ERP","Важно","Микросервисы","Полностью удовлетворяют","Периодически","Некорректные значения","Есть оба варианта","Используется сравнение контрольных сумм","Разрешается вручную","Строгие политики паролей","Детализация доступа на уровне данных","Структурирование данных ","Универсально настраиваемую ответную систему"
"2025/10/20 11:36:33 PM GMT+3","6","SQL-базы","Важно","API-интеграция","Полностью удовлетворяют","Периодически","Некорректные значения","Есть оба варианта","Используется регулярный аудит","Разрешается вручную","Строгие политики паролей","Детализация доступа на уровне данных","Структурирование данных ","Универсально настраиваемую ответную систему"
"2025/10/20 11:36:33 PM GMT+3","6","Excel","Важно","Брокеры сообщений","Полностью удовлетворяют","Периодически","Пропуски данных","Есть оба варианта","Используется регулярный аудит","Приоритет источника («Last-Write-Wins»)","Маскирование, токенизация, анонимизация","Детализация доступа на уровне данных","Структурирование данных ","Универсально настраиваемую ответную систему"
"2025/10/21 4:56:04 AM GMT+3","7","Excel","Критично","Ручное выполнение","Скорее удовлетворяют","Редко","Некорректные значения","Ничего из выше перечисленного","Используются правила валидации данных","Приоритет источника («Last-Write-Wins»)","Двухфакторная аутентификация","Детализация доступа на уровне данных","нет","нет"
"2025/10/21 4:56:04 AM GMT+3","7","Облачные сервисы","Критично","API-интеграция","Скорее удовлетворяют","Редко","Некорректные значения","Ничего из выше перечисленного","Используется мониторинг и логирование","Объединение данных","Строгие политики паролей","Аудит и мониторинг доступа","нет","нет"
"2025/10/21 4:56:04 AM GMT+3","7","SQL-базы","Критично","Файловый обмен","Скорее удовлетворяют","Редко","Некорректные значения","Ничего из выше перечисленного","Используется регулярный аудит","Разрешается вручную","Принцип наименьших привилегий","Управление жизненным циклом доступа","нет","нет"
"2025/10/21 8:06:40 AM GMT+3","8","Excel","Критично","API-интеграция","Скорее удовлетворяют","Периодически","Дубликаты данных","Есть перечень правил","Используются правила валидации данных","Объединение данных","Маскирование, токенизация, анонимизация","Ролевая модель доступа (RBAC)","Конвертация в единый формат при получении","Уменьшение размера бекапов и отказ использования хранения сырых данных без конвертации"
"2025/10/21 8:06:40 AM GMT+3","8","Excel","Критично","API-интеграция","Скорее удовлетворяют","Периодически","Пропуски данных","Есть перечень правил","Используются правила валидации данных","Объединение данных","Принцип наименьших привилегий","Принцип наименьших привилегий (PoLP)","Конвертация в единый формат при получении","Уменьшение размера бекапов и отказ использования хранения сырых данных без конвертации"
"2025/10/21 8:06:40 AM GMT+3","8","SQL-базы","Критично","API-интеграция","Скорее удовлетворяют","Периодически","Несоответствие форматов","Есть перечень правил","Используются правила валидации данных","Объединение данных","Маскирование, токенизация, анонимизация","Управление жизненным циклом доступа","Конвертация в единый формат при получении","Уменьшение размера бекапов и отказ использования хранения сырых данных без конвертации"
"2025/10/21 9:32:19 AM GMT+3","9","CRM","Важно","Микросервисы","Полностью удовлетворяют","Редко","Дубликаты данных","Ничего из выше перечисленного","Используются правила валидации данных","Приоритет источника («Last-Write-Wins»)","Принцип наименьших привилегий","Ролевая модель доступа (RBAC)","Дублирование","нет"
"2025/10/21 9:32:19 AM GMT+3","9","ERP","Важно","Интеграционная шина (EBS)","Полностью удовлетворяют","Редко","Некорректные значения","Ничего из выше перечисленного","Используется мониторинг и логирование","Разрешается вручную","Принцип наименьших привилегий","Детализация доступа на уровне данных","Дублирование","нет"
"2025/10/21 9:32:19 AM GMT+3","9","ERP","Важно","Файловый обмен","Полностью удовлетворяют","Редко","Несоответствие форматов","Ничего из выше перечисленного","Используется мониторинг и логирование","Разрешается вручную","Принцип наименьших привилегий","Детализация доступа на уровне данных","Дублирование","нет"
"2025/10/21 10:26:15 AM GMT+3","10","SQL-базы","Критично","Микросервисы","Полностью удовлетворяют","Не сталкиваюсь","Дубликаты данных","Есть оба варианта","Используются правила валидации данных","Применение бизнес-правил","Принцип наименьших привилегий","Ролевая модель доступа (RBAC)","Реализация контроля доступа на уровне атрибутов","Можно было реализовать детальный процесс майнинг "
"2025/10/21 10:26:15 AM GMT+3","10","Облачные сервисы","Критично","Микросервисы","Полностью удовлетворяют","Не сталкиваюсь","Некорректные значения","Есть оба варианта","Используется мониторинг и логирование","Векторы версий и CRDTs","Строгие политики паролей","Принцип наименьших привилегий (PoLP)","Реализация контроля доступа на уровне атрибутов","Можно было реализовать детальный процесс майнинг "
"2025/10/21 10:51:30 AM GMT+3","11","ERP","Важно","API-интеграция","Скорее удовлетворяют","Редко","Пропуски данных","Ничего из выше перечисленного","Используется сравнение контрольных сумм","Разрешается вручную","Шифрование","Детализация доступа на уровне данных","нет","нет"
"2025/10/21 10:51:30 AM GMT+3","11","SQL-базы","Важно","Интеграционная шина (EBS)","Скорее удовлетворяют","Редко","Некорректные значения","Ничего из выше перечисленного","Используется сравнение контрольных сумм","Разрешается вручную","Строгие политики паролей","Детализация доступа на уровне данных","нет","нет"
"2025/10/21 10:51:30 AM GMT+3","11","Облачные сервисы","Важно","Ручное выполнение","Скорее удовлетворяют","Редко","Пропуски данных","Ничего из выше перечисленного","Используется сравнение контрольных сумм","Разрешается вручную","Шифрование","Детализация доступа на уровне данных","нет","нет"
"2025/10/21 11:07:12 AM GMT+3","12","CRM","Важно","API-интеграция","Полностью удовлетворяют","Периодически","Пропуски данных","Есть оба варианта","Используются правила валидации данных","Приоритет источника («Last-Write-Wins»)","Шифрование","Ролевая модель доступа (RBAC)","нет","нет"
"2025/10/21 11:07:12 AM GMT+3","12","CRM","Важно","API-интеграция","Полностью удовлетворяют","Периодически","Несоответствие форматов","Есть оба варианта","Используется мониторинг и логирование","Приоритет источника («Last-Write-Wins»)","Маскирование, токенизация, анонимизация","Ролевая модель доступа (RBAC)","нет","нет"
"2025/10/21 11:07:12 AM GMT+3","12","SQL-базы","Важно","API-интеграция","Полностью удовлетворяют","Периодически","Некорректные значения","Есть оба варианта","Используется сравнение контрольных сумм","Приоритет источника («Last-Write-Wins»)","Маскирование, токенизация, анонимизация","Ролевая модель доступа (RBAC)","нет","нет"
"2025/10/21 11:14:38 AM GMT+3","13","Облачные сервисы","Критично","Ручное выполнение","Скорее не удовлетворяют","Редко","Несоответствие форматов","Есть оба варианта","Используется сравнение контрольных сумм","Разрешается вручную","Шифрование","Детализация доступа на уровне данных","Не знаю","нет"
"2025/10/21 11:15:33 AM GMT+3","14","Excel","Важно","API-интеграция","Полностью не удовлетворяют","Периодически","Несоответствие форматов","Есть описанные процессы","Используется регулярный аудит","Приоритет источника («Last-Write-Wins»)","Шифрование","Аудит и мониторинг доступа","нет","нет"
"2025/10/21 11:17:17 AM GMT+3","15","CRM","Не очень важно","API-интеграция","Скорее не удовлетворяют","Периодически","Несоответствие форматов","Есть описанные процессы","Используется сравнение контрольных сумм","Разрешается вручную","Принцип наименьших привилегий","Принцип наименьших привилегий (PoLP)","нет","нет"
"2025/10/21 11:17:47 AM GMT+3","16","SQL-базы","Важно","Интеграционная шина (EBS)","Полностью удовлетворяют","Периодически","Дубликаты данных","Есть описанные процессы","Используются правила валидации данных","Объединение данных","Маскирование, токенизация, анонимизация","Ролевая модель доступа (RBAC)","нет","нет"
"2025/10/21 11:18:17 AM GMT+3","17","SQL-базы","Критично","Микросервисы","Полностью удовлетворяют","Периодически","Некорректные значения","Есть оба варианта","Используется регулярный аудит","Объединение данных","Двухфакторная аутентификация","Принцип наименьших привилегий (PoLP)","нет","нет"
"2025/10/21 11:19:01 AM GMT+3","18","SQL-базы","Не очень важно","API-интеграция","Ограничивают возможности","Редко","Несоответствие форматов","Есть оба варианта","Используется сравнение контрольных сумм","Объединение данных","Шифрование","Детализация доступа на уровне данных","нет","нет"
"2025/10/21 11:19:35 AM GMT+3","19","ERP","Не очень важно","Микросервисы","Скорее не удовлетворяют","Постоянно","Пропуски данных","Есть перечень правил","Используются правила валидации данных","Объединение данных","Маскирование, токенизация, анонимизация","Детализация доступа на уровне данных","нет","нет"
"2025/10/21 11:20:02 AM GMT+3","20","CRM","Не очень важно","Интеграционная шина (EBS)","Скорее не удовлетворяют","Периодически","Несоответствие форматов","Есть описанные процессы","Используется сравнение контрольных сумм","Разрешается вручную","Двухфакторная аутентификация","Принцип наименьших привилегий (PoLP)","нет","нет"
"2025/10/21 11:20:46 AM GMT+3","21","CRM","Не очень важно","Микросервисы","Скорее удовлетворяют","Не сталкиваюсь","Некорректные значения","Есть описанные процессы","Используется сравнение контрольных сумм","Разрешается вручную","Строгие политики паролей","Детализация доступа на уровне данных","нет","нет"
"2025/10/22 12:33:33 PM GMT+3","22","ERP","Важно","API-интеграция","Скорее удовлетворяют","Постоянно","Дубликаты данных","Есть описанные процессы","Используется мониторинг и логирование","Разрешается вручную","Двухфакторная аутентификация","Детализация доступа на уровне данных","нет","нет"
"2025/10/22 12:33:33 PM GMT+3","22","SQL-базы","Важно","Файловый обмен","Скорее удовлетворяют","Постоянно","Пропуски данных","Есть описанные процессы","Используется мониторинг и логирование","Применение бизнес-правил","Строгие политики паролей","Детализация доступа на уровне данных","нет","нет"
"2025/10/22 12:33:33 PM GMT+3","22","Excel","Важно","Файловый обмен","Скорее удовлетворяют","Постоянно","Дубликаты данных","Есть описанные процессы","Используется мониторинг и логирование","Применение бизнес-правил","Двухфакторная аутентификация","Детализация доступа на уровне данных","нет","нет"
"2025/10/22 1:04:22 PM GMT+3","23","ERP","Важно","API-интеграция","Скорее удовлетворяют","Редко","Дубликаты данных","Есть перечень правил","Используется мониторинг и логирование","Приоритет источника («Last-Write-Wins»)","Двухфакторная аутентификация","Ролевая модель доступа (RBAC)","Удаление дубликатов","Однозначность данных, меньшее время на разработку новых интеграций"
"2025/10/22 1:04:22 PM GMT+3","23","Excel","Важно","Интеграционная шина (EBS)","Скорее удовлетворяют","Редко","Дубликаты данных","Есть перечень правил","Используется мониторинг и логирование","Разрешается вручную","Строгие политики паролей","Ролевая модель доступа (RBAC)","Удаление дубликатов","Однозначность данных, меньшее время на разработку новых интеграций"
"2025/10/25 8:37:50 AM GMT+3","24","CRM","Не важно","ETL","Ограничивают возможности","Периодически","Пропуски данных","Ничего из выше перечисленного","Используется мониторинг и логирование","Векторы версий и CRDTs","Строгие политики паролей","Ролевая модель доступа (RBAC)","нет","нет"
"2025/10/25 8:37:50 AM GMT+3","24","Облачные сервисы","Не важно","API-интеграция","Ограничивают возможности","Периодически","Несоответствие форматов","Ничего из выше перечисленного","Используется сравнение контрольных сумм","Приоритет источника («Last-Write-Wins»)","Шифрование","Детализация доступа на уровне данных","нет","нет"
"2025/10/25 8:37:50 AM GMT+3","24","CRM","Не важно","Файловый обмен","Ограничивают возможности","Периодически","Несоответствие форматов","Ничего из выше перечисленного","Используется сравнение контрольных сумм","Разрешается вручную","Принцип наименьших привилегий","Контроль доступа на основе атрибутов (ABAC)","нет","нет"
"2025/10/25 8:38:21 AM GMT+3","25","SQL-базы","Критично","ETL","Скорее не удовлетворяют","Периодически","Несоответствие форматов","Есть перечень правил","Используются правила валидации данных","Приоритет источника («Last-Write-Wins»)","Шифрование","Контроль доступа на основе атрибутов (ABAC)","нет","нет"
"2025/10/25 8:38:21 AM GMT+3","25","1С","Критично","Интеграционная шина (EBS)","Скорее не удовлетворяют","Периодически","Некорректные значения","Есть перечень правил","Используются правила валидации данных","Применение бизнес-правил","Принцип наименьших привилегий","Управление жизненным циклом доступа","нет","нет"
"2025/10/25 8:38:21 AM GMT+3","25","1С","Критично","Микросервисы","Скорее не удовлетворяют","Периодически","Пропуски данных","Есть перечень правил","Используются правила валидации данных","Приоритет источника («Last-Write-Wins»)","Шифрование","Аудит и мониторинг доступа","нет","нет"
"2025/10/25 8:38:56 AM GMT+3","26","SQL-базы","Критично","ЭДО","Полностью удовлетворяют","Не сталкиваюсь","Пропуски данных","Есть перечень правил","Используется мониторинг и логирование","Арбитраж","Двухфакторная аутентификация","Ролевая модель доступа (RBAC)","нет","нет"
"2025/10/25 8:39:42 AM GMT+3","27","Excel","Не важно","Интеграционная шина (EBS)","Скорее удовлетворяют","Не сталкиваюсь","Некорректные значения","Есть оба варианта","Используется сравнение контрольных сумм","Разрешается вручную","Строгие политики паролей","Детализация доступа на уровне данных","нет","нет"
"2025/10/25 8:40:07 AM GMT+3","28","CRM","Не важно","ETL","Скорее не удовлетворяют","Постоянно","Дубликаты данных","Ничего из выше перечисленного","Используется мониторинг и логирование","Арбитраж","Двухфакторная аутентификация","Ролевая модель доступа (RBAC);Детализация доступа на уровне данных","нет","нет"
"2025/10/25 8:40:07 AM GMT+3","28","Облачные сервисы","Не важно","Микросервисы","Скорее не удовлетворяют","Постоянно","Пропуски данных","Ничего из выше перечисленного","Используется сравнение контрольных сумм","Векторы версий и CRDTs","Двухфакторная аутентификация","Ролевая модель доступа (RBAC);Детализация доступа на уровне данных","нет","нет"
"2025/10/25 8:40:07 AM GMT+3","28","1С","Не важно","Ручное выполнение","Скорее не удовлетворяют","Постоянно","Дубликаты данных","Ничего из выше перечисленного","Используется мониторинг и логирование","Арбитраж","Двухфакторная аутентификация","Ролевая модель доступа (RBAC);Детализация доступа на уровне данных","нет","нет"
"2025/10/25 8:40:50 AM GMT+3","29","CRM","Критично","API-интеграция","Скорее не удовлетворяют","Периодически","Дубликаты данных","Есть оба варианта","Используется мониторинг и логирование","Приоритет источника («Last-Write-Wins»)","Шифрование","Ролевая модель доступа (RBAC)","нет","нет"
"2025/10/25 8:40:50 AM GMT+3","29","ERP","Критично","Микросервисы","Скорее не удовлетворяют","Периодически","Некорректные значения","Есть оба варианта","Используется сравнение контрольных сумм","Разрешается вручную","Строгие политики паролей","Детализация доступа на уровне данных","нет","нет"
"2025/10/25 8:40:50 AM GMT+3","29","SQL-базы","Критично","Файловый обмен","Скорее не удовлетворяют","Периодически","Несоответствие форматов","Есть оба варианта","Используется сравнение контрольных сумм","Арбитраж","Принцип наименьших привилегий","Аудит и мониторинг доступа","нет","нет"
"2025/10/25 8:40:50 AM GMT+3","29","Excel","Критично","API-интеграция","Скорее не удовлетворяют","Периодически","Дубликаты данных","Есть оба варианта","Используется сравнение контрольных сумм","Арбитраж","Принцип наименьших привилегий","Аудит и мониторинг доступа","нет","нет"
"2025/10/25 8:40:50 AM GMT+3","29","1С","Критично","API-интеграция","Скорее не удовлетворяют","Периодически","Дубликаты данных","Есть оба варианта","Используется мониторинг и логирование","Арбитраж","Строгие политики паролей","Аудит и мониторинг доступа","нет","нет"
"2025/10/25 8:41:45 AM GMT+3","30","Облачные сервисы","Не очень важно","Ручное выполнение","Ограничивают возможности","Не сталкиваюсь","Дубликаты данных","Ничего из выше перечисленного","Используется сравнение контрольных сумм","Разрешается вручную","Ничего","Аудит и мониторинг доступа","нет","нет"
"2025/10/25 8:41:45 AM GMT+3","30","Excel","Не очень важно","Файловый обмен","Ограничивают возможности","Не сталкиваюсь","Пропуски данных","Ничего из выше перечисленного","Используется регулярный аудит","Применение бизнес-правил","Ничего","Управление жизненным циклом доступа","нет","нет"
"2025/10/25 8:41:45 AM GMT+3","30","Книги учета","Не очень важно","Файловый обмен","Ограничивают возможности","Не сталкиваюсь","Некорректные значения","Ничего из выше перечисленного","Используется сравнение контрольных сумм","Применение бизнес-правил","Ничего","Аудит и мониторинг доступа","нет","нет"
"2025/10/25 8:39:42 AM GMT+3","31","Excel","Не важно","Интеграционная шина (EBS)","Скорее удовлетворяют","Не сталкиваюсь","Некорректные значения","Есть оба варианта","Используется сравнение контрольных сумм","Разрешается вручную","Строгие политики паролей","Детализация доступа на уровне данных","нет","нет"
"2025/10/26 12:33:33 PM GMT+3","31","SQL-базы","Важно","Файловый обмен","Скорее удовлетворяют","Постоянно","Пропуски данных","Есть описанные процессы","Используется мониторинг и логирование","Применение бизнес-правил","Строгие политики паролей","Детализация доступа на уровне данных","нет","нет"
